key,value
GeForce RTX 4090,39486
GeForce RTX 4080,35364
GeForce RTX 4070 Ti,31917
Radeon RX 7900 XTX,31825
GeForce RTX 4090 Laptop GPU,30235
GeForce RTX 3090 Ti,29858
Radeon RX 7900 XT,29323
Radeon RX 6950 XT,29129
GeForce RTX 3080 Ti,27455
GeForce RTX 4080 Laptop GPU,27142
Radeon RX 6900 XT,27018
GeForce RTX 4070,26992
GeForce RTX 3090,26983
GeForce RTX 3080 12GB,26864
GeForce RTX 3080,25446
Radeon RX 6800 XT,25118
GeForce RTX 3070 Ti,23847
RTX A5000,23185
RTX A6000,22566
Radeon RX 6800,22525
GeForce RTX 3070,22505
GeForce RTX 2080 Ti,21887
RTX 4000 Ada Generation Laptop GPU,21533
Radeon RX 6750 XT,21529
RTX A4500,21342
RTX 6000 Ada Generation,20731
GeForce RTX 3060 Ti,20633
NVIDIA A10,20590
GeForce RTX 3080 Ti Laptop GPU,20454
RTX 5000 Ada Generation Laptop GPU,20403
Radeon RX 6700 XT,19931
RTX 4000 SFF Ada Generation,19925
TITAN V,19920
GeForce RTX 4070 Laptop GPU,19910
TITAN RTX,19896
Radeon PRO W6800,19596
GeForce RTX 2080 SUPER,19579
Quadro RTX 8000,19397
Quadro GV100,19325
RTX A5500,19314
TITAN Xp COLLECTORS EDITION,19303
Radeon RX 6700,19161
RTX A4000,19132
Quadro RTX 6000,19106
Radeon RX 6850M XT,18819
GeForce RTX 2080,18818
GeForce RTX 4060 Laptop GPU,18774
NVIDIA A10G,18723
NVIDIA TITAN Xp,18708
GeForce RTX 3070 Ti Laptop GPU,18530
Videocard Name,"Passmark G3D Mark
(higher is better)"
GeForce GTX 1080 Ti,18518
Tesla P40,18514
GeForce RTX 2070 SUPER,18260
RTX A5500 Laptop GPU,18210
RTX 3500 Ada Generation Laptop GPU,17922
Radeon RX 6650 XT,17802
RTX A4500 Laptop GPU,17714
GeForce RTX 3060,17215
TITAN V CEO Edition,16987
Radeon RX 5700 XT,16949
Radeon Pro VII,16853
Radeon VII,16803
GeForce RTX 3080 Laptop GPU,16681
GeForce RTX 2060 SUPER,16613
Radeon RX 5700 XT 50th Anniversary,16613
Radeon RX 6600 XT,16495
GeForce RTX 2070,16178
Quadro RTX 5000,16175
Radeon PRO W6600,15964
RTX A5000 Laptop GPU,15952
GeForce RTX 2060 12GB,15889
RTX A4000 Laptop GPU,15848
GeForce RTX 4050 Laptop GPU,15789
RTX 2000 Ada Generation Laptop GPU,15720
Quadro P6000,15693
Quadro GP100,15607
Radeon Pro Vega II,15592
Radeon Pro W5700,15580
GeForce RTX 3070 Laptop GPU,15571
GeForce GTX 1080,15480
Quadro RTX 4000,15473
Radeon RX 6800S,15240
Radeon RX 6600,15175
GeForce RTX 2080 (Mobile),15107
Quadro RTX 5000 (Mobile),14832
Radeon RX 5700,14722
RTX A3000 12GB Laptop GPU,14722
GeForce GTX 1070 Ti,14703
Radeon RX Vega 64,14629
Radeon RX 6700S,14556
Radeon 6700,14158
GeForce RTX 2060,14101
RTX A2000 12GB,14042
GeForce RTX 2070 Super with Max-Q Design,14023
Radeon Pro WX 8200,13925
GeForce GTX 980 Ti,13880
Radeon RX 5600 XT,13826
GeForce RTX 2080 Super with Max-Q Design,13735
Quadro RTX 5000 with Max-Q Design,13709
Videocard Name,"Passmark G3D Mark
(higher is better)"
RTX A2000,13705
NVIDIA TITAN X,13659
Radeon RX 6600M,13638
Radeon Pro WX 9100,13554
Radeon RX Vega 56,13546
GeForce GTX 1070,13517
Radeon Vega Frontier Edition,13463
Radeon RX 6700M,13389
GeForce RTX 3060 Laptop GPU,13331
A10-8Q,13234
GeForce RTX 2080 with Max-Q Design,13182
Radeon PRO W6600X,13113
GeForce GTX TITAN X,13098
GeForce RTX 3050,13027
GeForce GTX 1660 Ti,12946
Radeon Pro Vega 64,12918
Radeon RX 6800M,12879
Quadro P5200,12846
GeForce GTX 1660 SUPER,12814
Radeon Pro 5700 XT,12690
Quadro RTX 4000 with Max-Q Design,12687
Quadro P5200 with Max-Q Design,12659
Tesla T10,12650
Radeon RX 6650M,12617
Radeon Pro Vega 56,12607
RTX A3000 Laptop GPU,12434
Quadro P4200 with Max-Q Design,12406
Quadro RTX 4000 (Mobile),12384
GeForce RTX 2070 (Mobile),12354
Quadro P5000,12279
Radeon RX 6850M,12274
Radeon Pro V520 MxGPU,12257
GeForce RTX 3050 OEM,11993
GeForce RTX 2070 with Max-Q Design,11903
Quadro M6000 24GB,11879
Radeon Pro 5700,11844
Quadro M6000,11771
GeForce GTX 1660,11739
GeForce GTX 1080 with Max-Q Design,11547
Quadro P4000,11547
Radeon RX 5600,11392
GeForce RTX 2060 (Mobile),11354
Radeon Pro Vega 48,11352
RTX A1000 6GB Laptop GPU,11256
GeForce GTX 980,11148
Quadro RTX 3000,11042
RTX A2000 8GB Laptop GPU,10930
Tesla T4,10867
Radeon Pro SSG,10497
Videocard Name,"Passmark G3D Mark
(higher is better)"
Tesla M40 24GB,10474
GeForce GTX 1070 (Mobile),10465
Quadro P4200,10444
Tesla M40,10212
GeForce GTX 1660 Ti (Mobile),10176
GeForce GTX 1650 SUPER,10109
GeForce RTX 3050 Ti Laptop GPU,10106
RTX A2000 Laptop GPU,10096
GeForce GTX 1070 with Max-Q Design,10085
GeForce GTX 1060,10071
Radeon R9 Fury X,10057
GeForce RTX 3050 6GB Laptop GPU,9918
GeForce RTX 2060 with Max-Q Design,9775
GeForce GTX 1060 3GB,9742
Radeon R9 Fury + Fury X,9741
GeForce GTX 970,9640
Radeon R9 Fury,9602
Radeon RX 590,9559
RTX A1000 Laptop GPU,9527
Radeon RX 6500 XT,9492
Radeon R9 390X,9461
GeForce GTX 780 Ti,9434
Quadro P2200,9377
GeForce RTX 3050 Laptop GPU,9348
Quadro M5000,9318
Radeon Pro 5600M,9280
Radeon RX 5500 XT,9207
NVIDIA A40,9169
Quadro P3200 with Max-Q Design,9163
Radeon Pro W5500,9135
Quadro P4000 with Max-Q Design,9082
Radeon R9 390,9059
GeForce GTX TITAN Black,9057
GeForce GTX TITAN Z,8986
Radeon RX 580,8916
GeForce GTX 1060 5GB,8909
Radeon RX 5500,8799
Quadro P3200,8793
Tesla P4,8766
Radeon R9 290X,8734
Radeon RX 480,8693
GeForce GTX 1660 Ti with Max-Q Design,8686
Radeon R9 295X2,8637
Quadro RTX 3000 with Max-Q Design,8621
Intel Arc A770,8606
Radeon RX590 GME,8470
Radeon R9 290,8401
Radeon R9 290X / 390X,8389
Radeon Pro 5500 XT,8326
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon Pro Duo,8293
Tesla V100-PCIE-32GB,8259
GeForce GTX Titan,8204
Radeon Ryzen 7 6800HS,8200
Intel Arc A750,8177
GeForce GTX 1060 (Mobile),8160
Radeon R9 290 / 390,8150
Ryzen 5 4600HS with Radeon Graphics,8120
Radeon RX 470/570,8076
Radeon Ryzen 9 6900HS,8066
Quadro K6000,8065
GeForce GTX 780,8028
Ryzen 9 6900HS,8005
Radeon PRO W6400,7935
Radeon RX 6500M,7929
FirePro W9100,7927
GeForce GTX 1060 with Max-Q Design,7919
Radeon Pro WX 7100,7918
Quadro M5500,7915
GeForce GTX 1650,7851
Radeon RX 5600M,7811
Radeon RX 580X,7798
Tesla M60,7770
Radeon RX 580 2048SP,7766
Radeon Pro 580,7753
T1200 Laptop GPU,7741
T1000,7700
Radeon Ryzen 9 4900HS,7686
Radeon RX 5300,7662
T1000 8GB,7637
GeForce GTX 1650 Ti,7543
Radeon Pro 580X,7540
Tesla M6,7509
Radeon Pro 5300,7493
Radeon RX 6400,7485
Radeon Ryzen 7 4800HS,7361
GeForce GTX 980M,7345
FirePro W8100,7313
Tesla P100-PCIE-16GB,7225
Quadro T2000,7192
Radeon Ryzen 9 7950X 16-Core,7159
Quadro P2000,7023
Quadro M5000M,7017
GeForce GTX 1650 (Mobile),6968
T600 Laptop GPU,6949
Intel Arc A770M,6906
GeForce RTX 3050 4GB Laptop GPU,6903
Quadro T2000 with Max-Q Design,6873
Ryzen 7 6800HS with Radeon Graphics,6867
Videocard Name,"Passmark G3D Mark
(higher is better)"
GeForce RTX 2050,6844
Radeon Pro 5500M,6819
RTX A500 Laptop GPU,6754
GeForce GTX 970XM FORCE,6706
Quadro T1000 with Max-Q Design,6665
Quadro M4000,6638
Quadro T1000,6582
Radeon Pro WX 7130,6577
Quadro P3000,6566
Radeon RX Vega M GH,6545
T600,6504
GeForce GTX 1650 Ti with Max-Q Design,6369
Radeon Pro 570,6336
GeForce GTX 1050 Ti,6297
Quadro M4000M,6275
Radeon R9 380X,6261
Radeon R9 280X,6254
Radeon R9 380,6243
FirePro W9000,6138
GeForce MX570 A,6096
GeForce GTX 1650 with Max-Q Design,6050
GeForce GTX 960,6024
Radeon Pro 5300M,5973
GRID P100-16Q,5944
Quadro K5200,5938
GeForce GTX 1050 Ti (Mobile),5918
GeForce GTX 770,5879
P106-100,5859
Radeon PRO Ryzen 7 PRO 6850U,5858
Ryzen 9 6900HS with Radeon Graphics,5827
Ryzen 9 5900HS with Radeon Graphics,5809
GeForce MX570,5773
GeForce GTX 970M,5730
Ryzen 9 PRO 6950H,5661
Radeon Pro WX 5100,5612
Radeon Ryzen 7 PRO 6850H,5604
Radeon R9 280,5600
Ryzen 7 PRO 6850U,5580
Radeon HD 7990,5565
Radeon Ryzen 7 6800H,5563
Radeon Ryzen 9 7900 12-Core,5558
GeForce GTX 690,5556
Radeon R9 285 / 380,5549
GeForce GTX 680,5529
GRID M60-8A,5523
GeForce GTX 760 Ti OEM,5427
Quadro M3000M,5418
Ryzen 9 6900HX,5415
GeForce GTX 1050 Ti with Max-Q Design,5389
Videocard Name,"Passmark G3D Mark
(higher is better)"
GRID P40-4Q,5364
Ryzen 7 6800HS Creator Edition,5345
GeForce GTX 950,5341
FirePro W7100,5303
GeForce GTX 670,5298
Radeon Ryzen 7 7735HS,5269
Radeon HD 7970 / R9 280X,5247
Ryzen 7 6800H,5247
Ryzen 7 6800HS,5237
Radeon Pro Vega 20,5228
Radeon HD 8990,5214
Radeon Ryzen 9 6900HX,5209
GRID M60-2Q,5203
Radeon RX 5500M,5197
Radeon Ryzen 7 6800HS Creator Edition,5188
Radeon Ryzen 7 PRO 6850HS,5165
Q12U-1,5164
Radeon R9 M295X,5150
GeForce GTX 760 Ti,5145
